layer_index,layer_name,cosine_anisotropy,isoscore,rogue_ratio,id_score,spearman_correlation
0,0 (Embed),0.8141350061551161,2.866025539449557e-17,1.0,1171875.0,nan
1,1,0.8742685489740415,2.866025539449557e-17,1.0,1171875.0,nan
2,2,0.8869884604510813,2.866025539449557e-17,1.0,1171875.0,nan
3,3,0.9305014612675906,2.866025539449557e-17,1.0,1171875.0,nan
4,4,0.9382319362119415,2.866025539449557e-17,1.0,1171875.0,nan
5,5,0.9576348433081897,2.866025539449557e-17,1.0,1171875.0,nan
6,6,0.9685285090207457,2.866025539449557e-17,1.0,1171875.0,nan
7,7,0.9544523906087565,2.866025539449557e-17,1.0,1171875.0,nan
8,8,0.9269679404903257,2.866025539449557e-17,1.0,1171875.0,nan
9,9,0.9387626829237983,2.866025539449557e-17,1.0,1171875.0,nan
10,10,0.9444534803641444,2.866025539449557e-17,1.0,1171875.0,nan
11,11,0.9354962052673981,2.866025539449557e-17,1.0,1171875.0,nan
12,12,0.7316790318834955,2.866025539449557e-17,1.0,1171875.0,nan
